Line 8, col 1: illegal character (")
Line 12, col 43: illegal character (")
Line 12, col 44: invalid char constant ('\1231')
Line 20, col 9: illegal character ($)
Line 20, col 10: illegal character ($)
Line 20, col 11: illegal character ($)
Line 20, col 12: illegal character ($)
Line 20, col 13: illegal character ($)
Line 20, col 14: illegal character ($)
Line 20, col 15: illegal character ($)
Line 20, col 16: illegal character ($)
Line 34, col 4: illegal character ($)
Line 34, col 5: illegal character ($)
Line 34, col 6: illegal character ($)
Line 34, col 7: illegal character ($)
Line 35, col 19: illegal character ($)
Line 38, col 16: illegal character ($)
Line 50, col 3: illegal character (@)
Line 51, col 1: illegal character (@)
Line 51, col 2: illegal character (@)
Line 51, col 3: illegal character (@)
Line 51, col 4: illegal character (@)
Line 51, col 5: illegal character (@)
Line 51, col 6: illegal character (@)
Line 51, col 7: illegal character (@)
Line 53, col 16: illegal character (\)
Line 63, col 1: illegal character ($)
Line 68, col 5: illegal character (\)
Line 68, col 6: illegal character ($)
Line 70, col 35: illegal character ($)
Line 70, col 36: illegal character ($)
Line 70, col 37: illegal character ($)
Line 70, col 38: illegal character ($)
Line 70, col 39: illegal character ($)
Line 70, col 40: illegal character ($)
Line 70, col 41: illegal character ($)
Line 70, col 42: illegal character ($)
Line 71, col 1: illegal character (@)
Line 71, col 2: illegal character (@)
Line 71, col 3: illegal character (@)
Line 71, col 4: illegal character (@)
Line 71, col 5: illegal character (@)
Line 71, col 6: illegal character (@)
Line 71, col 7: illegal character (@)
Line 71, col 8: illegal character (@)
Line 71, col 9: illegal character (@)
Line 71, col 10: illegal character (@)
Line 71, col 11: illegal character (@)
Line 71, col 12: illegal character (@)
Line 71, col 13: illegal character (@)
Line 71, col 14: illegal character (@)
Line 71, col 15: illegal character (@)
Line 71, col 16: illegal character (@)
Line 71, col 17: illegal character (@)
Line 71, col 18: illegal character (@)
Line 71, col 19: illegal character (@)
Line 71, col 20: illegal character (@)
Line 71, col 21: illegal character (@)
Line 71, col 22: illegal character (@)
Line 71, col 23: illegal character (@)
Line 71, col 24: illegal character (@)
Line 71, col 25: illegal character (@)
Line 71, col 26: illegal character (@)
Line 71, col 27: illegal character (@)
Line 71, col 28: illegal character (@)
Line 71, col 29: illegal character (@)
Line 71, col 30: illegal character (@)
Line 71, col 31: illegal character (@)
Line 71, col 32: illegal character (@)
Line 71, col 33: illegal character (@)
Line 71, col 34: illegal character (@)
Line 71, col 35: illegal character (@)
Line 72, col 1: illegal character (@)
Line 72, col 2: illegal character (@)
Line 72, col 3: illegal character (@)
Line 72, col 4: illegal character (@)
Line 72, col 5: illegal character (@)
Line 72, col 6: illegal character (@)
Line 72, col 7: illegal character (@)
Line 72, col 8: illegal character (@)
Line 72, col 26: illegal character (@)
Line 72, col 27: illegal character (@)
Line 72, col 28: illegal character (@)
Line 72, col 29: illegal character (@)
